timestamp,date,blood_pressure,label
1610637994.99,2021-01-14T15:26:34.990000Z,131,other
1610637995.005,2021-01-14T15:26:35.005000Z,128,other
1610637995.0200002,2021-01-14T15:26:35.020000Z,125,other
1610637995.0350003,2021-01-14T15:26:35.035000Z,123,other
1610637995.0500004,2021-01-14T15:26:35.050000Z,120,other
1610637995.0650003,2021-01-14T15:26:35.065001Z,116,other
1610637995.0800006,2021-01-14T15:26:35.080001Z,113,other
1610637995.0950007,2021-01-14T15:26:35.095001Z,109,other
1610637995.1100008,2021-01-14T15:26:35.110001Z,106,other
1610637995.125001,2021-01-14T15:26:35.125001Z,102,other
1610637995.140001,2021-01-14T15:26:35.140001Z,99,other
1610637995.1550012,2021-01-14T15:26:35.155001Z,96,other
1610637995.1700013,2021-01-14T15:26:35.170001Z,93,other
1610637995.1850014,2021-01-14T15:26:35.185001Z,90,other
1610637995.2000017,2021-01-14T15:26:35.200001Z,87,other
1610637995.2150016,2021-01-14T15:26:35.215002Z,85,other
1610637995.2300017,2021-01-14T15:26:35.230002Z,83,other
1610637995.2450018,2021-01-14T15:26:35.245002Z,83,other
1610637995.260002,2021-01-14T15:26:35.260002Z,86,other
1610637995.275002,2021-01-14T15:26:35.275002Z,92,other
1610637995.290002,2021-01-14T15:26:35.290002Z,101,other
1610637995.3050022,2021-01-14T15:26:35.305002Z,113,other
1610637995.3200023,2021-01-14T15:26:35.320002Z,125,other
1610637995.3350024,2021-01-14T15:26:35.335002Z,137,other
1610637995.3500023,2021-01-14T15:26:35.350003Z,147,other
1610637995.3650026,2021-01-14T15:26:35.365003Z,155,other
1610637995.3800027,2021-01-14T15:26:35.380003Z,161,other
1610637995.3950028,2021-01-14T15:26:35.395003Z,165,other
1610637995.410003,2021-01-14T15:26:35.410003Z,166,other
1610637995.425003,2021-01-14T15:26:35.425003Z,166,other
1610637995.4400032,2021-01-14T15:26:35.440003Z,164,other
1610637995.4550033,2021-01-14T15:26:35.455003Z,160,other
1610637995.4700034,2021-01-14T15:26:35.470003Z,156,other
1610637995.4850037,2021-01-14T15:26:35.485003Z,151,other
1610637995.5000036,2021-01-14T15:26:35.500004Z,146,other
1610637995.5150037,2021-01-14T15:26:35.515004Z,141,other
1610637995.5300038,2021-01-14T15:26:35.530004Z,137,other
1610637995.545004,2021-01-14T15:26:35.545004Z,133,other
1610637995.560004,2021-01-14T15:26:35.560004Z,130,other
1610637995.575004,2021-01-14T15:26:35.575004Z,128,other
1610637995.5900042,2021-01-14T15:26:35.590004Z,125,other
